gene_id	gene_name	log2FC	pvalue	funcao
AJAP_283675	immune_response_protein	0.7462	1.13628e-06	Neurogênese
AAEL_837334	mitochondrial_protein	-1.3901	0.26254263	Modificação de proteínas
AAEL_912831	kinase	-2.5841	5.01e-10	Metabolismo energético
AJAP_316454	transport_protein	-3.4436	0.10479742	Sinalização celular
AAEL_209575	immune_response_protein	1.7575	0.10220768	Biossíntese de proteínas
AJAP_997336	aquaporin	1.9873	0.02872033	Metabolismo energético
AJAP_605815	aquaporin	0.5448	0.07385942	Interação hospedeiro-microrganismo
AJAP_176218	transport_protein	-0.9615	0.19835994	Neurogênese
AAEL_436199	oxidative_stress_protein	-2.9215	0.00080388	Desenvolvimento de tecidos
AAEL_786840	DNA_repair_protein	1.014	0.00091563	Replicação do DNA
AJAP_562052	heat_shock_protein	-1.9814	0.00209208	Resposta a patógenos
AAEL_139986	immune_response_protein	-1.2803	0.0253638	Transporte de membrana
AAEL_447739	DNA_repair_protein	-1.0558	0.04666064	Vias de sinalização hormonal
AALB_572327	cytochrome_P450	-0.3556	0.17752998	Regulação transcricional
AJAP_697794	tubulin	-1.3663	0.00027941	Resposta imune
AALB_525037	tubulin	0.0602	0.42799856	Neurogênese
AALB_999885	chitin_synthase	-1.1193	0.0557301	Detoxificação
AAEL_112175	odorant_receptor	1.2625	0.2910737	Neurogênese
AALB_416915	ATP_synthase	1.8559	1.319e-08	Resposta imune
AJAP_745588	ribosomal_protein	0.1954	0.04208581	Resposta ao estresse
AAEL_868734	aquaporin	0.8327	2.9858e-08	Desenvolvimento embrionário
AALB_510543	kinase	3.8121	0.00616357	Modificação de proteínas
AJAP_368294	lipid_metabolism_protein	-2.1107	0.11463637	Transporte de membrana
AALB_354726	immune_response_protein	-2.2202	0.02168558	Biossíntese de proteínas
AALB_626486	antimicrobial_peptide	1.251	0.13425188	Ciclo celular
AALB_808754	RNA_binding_protein	3.5038	0.17892526	Sinalização celular
AAEL_267292	phosphatase	-0.4689	0.05573965	Detoxificação
AAEL_244931	transport_protein	3.1083	0.52834355	Replicação do DNA
AJAP_262491	kinase	0.1736	0.18990897	Vias de sinalização hormonal
AJAP_501921	immune_response_protein	-1.2256	0.07907749	Processamento de RNA
AJAP_360910	ATP_synthase	-1.7832	0.18199208	Detoxificação
AJAP_187955	chitin_synthase	1.1329	0.27118163	Desenvolvimento larval
AALB_727433	cytochrome_P450	-1.6469	0.0100064	Biossíntese de proteínas
AALB_194914	aquaporin	0.1463	0.10309929	Detoxificação
AALB_307990	juvenile_hormone_protein	2.8502	0.11197078	Tradução
AALB_478387	ATP_synthase	-0.5522	8.1474e-08	Resposta ao estresse
AALB_756639	signal_transduction_protein	2.3652	0.01272797	Apoptose
AALB_997928	cytochrome_P450	-2.1862	2.63213e-07	Vias de sinalização hormonal
AJAP_238155	heat_shock_protein	-0.961	0.30451394	Resposta imune
AAEL_881817	oxidative_stress_protein	-2.5329	7.1e-11	Reparo do DNA
AAEL_356713	signal_transduction_protein	0.1314	0.00607879	Modificação de proteínas
AAEL_643351	proteasome_subunit	1.4041	0.0315065	Resposta imune
AALB_190093	aquaporin	2.1530265702269378	0.53953663	Reparo do DNA
AAEL_317215	transcription_factor	2.2087	0.255997	Desenvolvimento de tecidos
AALB_783889	phosphatase	-1.3485	0.00309181	Desenvolvimento de tecidos
AALB_127856	ribosomal_protein	0.4056	0.05331385	Processamento de RNA
AAEL_659655	cytochrome_P450	-0.9494	0.04360065	Interação hospedeiro-microrganismo
AALB_862092	actin_related_protein	0.651	8.78e-07	Biossíntese de proteínas
AAEL_422918	trypsin_like_protease	0.9067	0.00230866	Desenvolvimento embrionário
AAEL_941461	oxidative_stress_protein	-2.6596239339108445	0.51513024	Apoptose
AJAP_413837	odorant_receptor	-1.9271	8.1043598e-05	Transporte de membrana
AAEL_942393	ubiquitin_ligase	-1.6015	0.20765876	Resposta imune
AAEL_880316	ecdysone_response_protein	-1.2677	0.08089463	Biossíntese de proteínas
AALB_356609	aquaporin	-0.43	0.04136258	Desenvolvimento embrionário
AALB_436676	chitin_synthase	0.1569	0.02819282	Resposta imune
AAEL_418277	kinase	1.2746	0.03165088	Desenvolvimento larval
AALB_618271	antimicrobial_peptide	-4.1158387926923865	0.38279975	Proteólise
AAEL_585417	odorant_receptor	-2.8818	0.11222949	Metabolismo de carboidratos
AAEL_288456	ABC_transporter	3.8803	0.15238282	Desenvolvimento larval
AALB_257729	transcription_factor	-2.0366	0.37803168	Proteólise
AALB_328504	ABC_transporter	1.5054	0.02509105	Estresse oxidativo
AALB_752665	juvenile_hormone_protein	0.0563	0.15254403	Desenvolvimento de tecidos
AALB_625910	antimicrobial_peptide	0.4524	1e-12	Proteólise
AJAP_140809	oxidative_stress_protein	-0.0028	0.23904545	Replicação do DNA
AALB_816756	proteasome_subunit	-0.6927	0.05700027	Homeostase celular
AAEL_599512	ABC_transporter	0.8352	0.00455077	Desenvolvimento de tecidos
AALB_129402	serine_protease	-0.7895	3.1427394e-05	Metabolismo energético
AAEL_851883	ecdysone_response_protein	2.0993	0.193951	Regulação transcricional
AAEL_672212	glutathione_S_transferase	1.0232	0.05396742	Sinalização celular
AAEL_324137	ecdysone_response_protein	1.0793	0.17515379	Vias de sinalização hormonal
AAEL_397881	antimicrobial_peptide	-0.9128	0.02453763	Replicação do DNA
AJAP_451707	signal_transduction_protein	-0.4254	0.09915054	Desenvolvimento larval
AJAP_610585	ribosomal_protein	-2.1382	0.09016822	Modificação de proteínas
AALB_490719	cytochrome_P450	-0.6354	0.15341619	Interação hospedeiro-microrganismo
AAEL_201371	oxidative_stress_protein	-1.8658	0.28779725	Resposta a patógenos
AAEL_292192	phosphatase	2.3635	0.42743072	Biossíntese de proteínas
AAEL_121172	odorant_receptor	0.091	0.00198196	Proteólise
AAEL_677564	antimicrobial_peptide	0.3069	0.00025261	Estresse oxidativo
AALB_808362	serine_protease	-0.4053	0.00145182	Tradução
AALB_880298	odorant_receptor	0.3556	0.03307791	Tradução
AALB_322320	proteasome_subunit	4.4368	0.40536079	Proteólise
AAEL_111046	serine_protease	-0.5403	9.1e-11	Biossíntese de proteínas
AJAP_478165	cytochrome_P450	-1.1707	0.07317394	Transporte de membrana
AALB_808662	DNA_repair_protein	0.9534	0.00716246	Ciclo celular
AALB_366997	oxidative_stress_protein	-4.5463	0.00769594	Metabolismo de lipídios
AALB_745188	tubulin	0.1151	0.12274771	Estresse oxidativo
AAEL_515008	ubiquitin_ligase	-0.6691	0.24082225	Tradução
AAEL_861379	DNA_repair_protein	-5.638965213460174	0.05168096	Neurogênese
AAEL_344883	phosphatase	0.914	0.00146147	Modificação de proteínas
AALB_560514	membrane_receptor	0.0972	0.000142967665	Desenvolvimento embrionário
AAEL_771210	transcription_factor	-3.2443	0.37180529	Transporte de membrana
AAEL_221789	proteasome_subunit	-1.1638	0.27234374	Sinalização celular
AAEL_800780	chitin_synthase	-7.237132188859528	0.20210909	Desenvolvimento de tecidos
AAEL_166017	trypsin_like_protease	0.5279	3e-12	Transporte de íons
AJAP_788281	cytochrome_P450	2.5385305553341198	0.49096149	Apoptose
AALB_756884	trypsin_like_protease	-1.4279	0.19200507	Processamento de RNA
AALB_901480	serine_protease	4.666137708414121	0.28674937	Regulação transcricional
AAEL_793264	immune_response_protein	-2.3085	0.35306694	Replicação do DNA
AALB_658296	transport_protein	-1.7397	1.2599207e-05	Processamento de RNA
AALB_830026	serine_protease	0.7509	0.21158354	Modificação de proteínas
AAEL_155337	actin_related_protein	-1.2396	4e-12	Metabolismo energético
AAEL_375494	heat_shock_protein	-0.1128	0.01196275	Regulação transcricional
AAEL_145186	kinase	-1.0146	0.1903561	Resposta ao estresse
AALB_527236	juvenile_hormone_protein	-0.7397	0.07792469	Fototransdução
AALB_599883	phosphatase	-0.661	0.02307905	Metabolismo de carboidratos
AAEL_840829	ABC_transporter	-1.2722	0.19759795	Transporte de íons
AAEL_713217	juvenile_hormone_protein	0.5444	3.33541e-07	Apoptose
AALB_675762	ATP_synthase	-1.1303	0.15548206	Metabolismo de carboidratos
AALB_225995	proteasome_subunit	0.0282	0.40762918	Neurogênese
AJAP_431770	transcription_factor	-1.3117	0.12738747	Biossíntese de proteínas
AALB_528988	transcription_factor	-2.7617	0.01452606	Metabolismo de carboidratos
AAEL_280553	actin_related_protein	1.6424	0.30285834	Metabolismo de lipídios
AAEL_980438	transcription_factor	0.8991	0.00437786	Proteólise
AALB_419278	juvenile_hormone_protein	4.1196	0.01343228	Metabolismo de lipídios
AAEL_756701	RNA_binding_protein	-1.8792	0.08406962	Replicação do DNA
AALB_714615	phosphatase	-0.3761	0.1387996	Homeostase celular
AJAP_302503	antimicrobial_peptide	-0.2313	5.06e-06	Metabolismo energético
AALB_111344	aquaporin	1.7809	0.28050641	Proteólise
AAEL_692245	RNA_binding_protein	-0.9128	0.13955737	Modificação de proteínas
AALB_420197	serine_protease	-2.1079	0.15507239	Desenvolvimento embrionário
AALB_771256	kinase	2.1741	6e-08	Desenvolvimento larval
AALB_817912	juvenile_hormone_protein	-0.57	0.13219159	Neurogênese
AJAP_177454	proteasome_subunit	1.5816	0.09706368	Metabolismo de lipídios
AAEL_611897	trypsin_like_protease	1.372	0.17036813	Desenvolvimento de tecidos
AJAP_616142	lipid_metabolism_protein	-4.049441711363956	0.00647344	Transporte de membrana
AJAP_653999	glutathione_S_transferase	-0.3138	0.26399714	Regulação transcricional
AAEL_469040	aquaporin	-0.7048	0.31616316	Fototransdução
